Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count
2024,9,FL,Preliminary,"1,932,222","13,773,429","10,456,786"
2024,9,GA,Preliminary,"701,621","5,127,471","4,806,377"
2024,9,HI,Preliminary,"101,634","249,412","446,722"
2024,9,IA,Preliminary,"161,431","1,137,617","1,461,845"
2024,9,ID,Preliminary,"81,763","660,308","870,872"
2024,9,IL,Preliminary,"585,608","3,694,017","5,344,152"
2024,9,IN,Preliminary,"403,104","2,700,512","2,992,507"
2024,9,KS,Preliminary,"177,335","1,201,095","1,336,003"
2024,9,KY,Preliminary,"262,996","2,083,244","2,011,936"
2024,9,LA,Preliminary,"380,739","3,183,136","2,159,335"
2024,9,MA,Preliminary,"465,280","1,590,342","2,804,147"
2024,9,MD,Preliminary,"353,676","1,923,139","2,450,078"
2024,9,ME,Preliminary,"101,483","385,244","731,113"
2024,9,MI,Preliminary,"533,934","2,654,247","4,528,531"
2024,9,MN,Preliminary,"291,550","1,774,905","2,598,331"
2024,9,MO,Preliminary,"420,014","2,875,294","2,873,268"
2024,9,MS,Preliminary,"238,865","1,829,105","1,351,414"
2024,9,MT,Preliminary,"51,037","379,149","559,775"
2024,9,NC,Preliminary,"717,435","4,831,749","5,086,166"
2024,9,ND,Preliminary,"42,334","329,831","397,703"
2024,9,NE,Preliminary,"105,617","805,186","912,737"
2024,9,NH,Preliminary,"84,898","341,525","653,999"
2024,9,NJ,Preliminary,"391,905","2,022,914","3,742,805"
2024,9,NM,Preliminary,"101,415","661,378","914,309"
2024,9,NV,Preliminary,"205,440","1,464,266","1,314,564"
2024,9,NY,Preliminary,"1,089,219","4,359,668","7,424,349"
2024,9,OH,Preliminary,"657,198","4,154,904","5,093,245"
2024,9,OK,Preliminary,"303,291","2,194,789","1,892,129"
2024,9,OR,Preliminary,"202,344","1,329,160","1,875,193"
2024,9,PA,Preliminary,"700,523","3,932,417","5,515,069"
2024,9,RI,Preliminary,"70,891","248,207","465,670"
2024,9,SC,Preliminary,"400,609","2,723,424","2,584,320"
2024,9,SD,Preliminary,"54,322","387,653","437,749"
2024,9,TN,Preliminary,"492,722","3,932,699","3,079,897"
2024,9,TX,Preliminary,"2,529,120","16,814,070","12,644,579"
2024,9,UT,Preliminary,"120,502","994,219","1,236,216"
2024,9,VA,Preliminary,"493,837","3,202,909","3,669,964"
2024,9,VT,Preliminary,"36,249","159,699","321,720"
2024,9,WA,Preliminary,"305,772","2,466,565","3,367,065"
2024,9,WI,Preliminary,"314,504","1,770,439","2,853,843"
2024,9,WV,Preliminary,"109,472","689,500","865,101"
2024,9,WY,Preliminary,"26,666","191,290","287,507"
2024,8,AK,Preliminary,"41,456","147,072","300,921"
2024,8,AL,Preliminary,"538,246","3,611,485","2,401,522"
2024,8,AR,Preliminary,"250,776","2,006,310","1,479,635"
2024,8,AZ,Preliminary,"786,825","5,298,881","3,103,348"
2024,8,CA,Preliminary,"3,125,763","10,049,842","14,303,580"
2024,8,CO,Preliminary,"359,374","2,310,104","2,488,348"
2024,8,CT,Preliminary,"395,840","1,321,307","1,551,454"
2024,8,DC,Preliminary,"47,054","270,475","319,131"
